bairro,sg,srag,obitos
Alto Barroca,131,2,0
Alto Caiçaras,208,13,1
Alto dos Pinheiros,66,6,2
Alto Vera Cruz,281,58,11
Álvaro Camargos,41,1,0
Ambrosina,9,1,1
Anchieta,380,19,9
Andiroba,11,2,1
Antônio Ribeiro de Abreu,4,0,0
Aparecida,191,21,5
Aparecida Sétima Seção,89,9,2
Ápia,4,2,1
Apolônia,67,5,0
Araguaia,353,22,6
Átila de Paiva,22,1,0
Bacurau,3,0,0
Bairro das Indústrias I,169,6,0
Bairro das Indústrias II,41,4,2
Bairro Novo das Indústrias,95,7,0
Baleia,4,0,0
Bandeirantes,182,3,2
Barão Homem de Melo I,1,0,0
Barão Homem de Melo III,7,1,1
Barão Homem de Melo IV,20,1,0
Barreiro,327,17,4
Barro Preto,274,15,5
Barroca,81,6,5
Beija Flor,28,6,1
Beira-Linha,34,12,1
Bela Vitória,11,0,0
Belém,4,3,1
Belmonte,39,5,4
Belvedere,354,14,8
Bernadete,21,0,0
Betânia,315,19,6
Biquinhas,23,4,1
Bispo de Maura,9,0,0
Boa Esperança,5,3,0
Boa União I,2,0,0
Boa União II,6,1,0
Boa Viagem,131,11,3
Boa Vista,443,44,5
Bom Jesus,65,7,2
Bonfim,130,12,2
Bonsucesso,151,8,2
Brasil Industrial,151,16,4
Braúnas,35,3,1
Buritis,1319,27,6
Cabana do Pai Tomás,214,21,6
Cachoeirinha,236,22,8
Caetano Furquim,7,0,0
Caiçara-Adelaide,262,20,8
Caiçaras,366,19,4
Calafate,211,9,3
Califórnia,178,18,5
Camargos,465,17,5
Campo Alegre,63,5,3
Camponesa I,2,0,0
Camponesa III,1,0,0
Campus UFMG,1,0,0
Canaã,24,1,0
Canadá,10,0,0
Candelária,262,6,4
Capitão Eduardo,17,1,1
Cardoso,261,12,1
Carlos Prates,456,31,1
Carmo,119,3,2
Casa Branca,124,20,2
Castanheira,127,13,2
Castelo,845,26,6
CDI Jatobá,21,2,1
Cenáculo,67,4,1
Centro,600,23,4
Céu Azul,488,19,6
Chácara Leonina,5,0,0
Cidade Jardim,81,2,1
Cidade Jardim Taquaril,3,0,0
Cidade Nova,363,16,3
Cinqüentenário,196,5,0
Colégio Batista,276,19,3
Comiteco,79,1,1
Concórdia,240,23,5
Cônego Pinheiro,9,0,0
Cônego Pinheiro A,1,0,0
Confisco,57,6,3
Conjunto Bonsucesso,20,4,1
Conjunto Califórnia I,114,4,1
Conjunto Califórnia II,45,2,1
Conjunto Capitão Eduardo,54,6,0
Conjunto Celso Machado,70,2,1
Conjunto Floramar,15,0,0
Conjunto Jardim Filadélfia,91,6,0
Conjunto Jatobá,42,5,2
Conjunto Lagoa,17,2,0
Conjunto Minascaixa,60,2,0
Conjunto Novo Dom Bosco,11,2,0
Conjunto Paulo VI,38,3,1
Conjunto Providência,5,0,0
Conjunto Santa Maria,9,3,1
Conjunto São Francisco de Assi,15,0,0
Conjunto Serra Verde,4,0,0
Conjunto Taquaril,258,22,4
Copacabana,412,12,3
Coqueiros,179,22,4
Coração de Jesus,124,6,2
Coração Eucarístico,169,4,0
Corumbiara,7,1,0
Cruzeiro,236,6,0
Custodinha,2,0,0
Delta,9,0,0
Diamante,378,26,7
Distrito Industrial do Jatobá,36,2,1
Dom Bosco,263,17,1
Dom Cabral,81,11,2
Dom Joaquim,107,11,2
Dom Silvério,72,4,0
Dona Clara,322,12,5
Engenho Nogueira,50,8,2
Ermelinda,102,9,2
Ernesto do Nascimento,41,7,1
Esperança,10,3,1
Esplanada,176,34,6
Estoril,225,7,1
Estrela,54,2,2
Estrela do Oriente,303,11,4
Etelvina Carneiro,53,5,0
Europa,244,12,4
Eymard,85,14,1
Fazendinha,27,8,2
Fernão Dias,183,4,0
Flamengo,4,1,1
Flávio de Oliveira,45,3,1
Flávio Marques Lisboa,168,14,1
Floramar,263,10,3
Floresta,405,21,6
Frei Leopoldo,54,2,0
Funcionários,338,15,6
Gameleira,55,1,0
Garças,29,1,0
Glória,335,39,9
Goiânia,286,38,5
Graça,118,9,1
Grajaú,211,9,2
Granja de Freitas,124,20,3
Granja Werneck,22,1,0
Grota,3,1,0
Grotinha,15,1,0
Guanabara,1,0,0
Guarani,225,15,4
Guaratã,42,0,0
Gutierrez,585,23,8
Havaí,408,16,7
Heliópolis,184,5,0
Horto,85,6,2
Horto Florestal,118,13,3
Imbaúbas,8,2,2
Inconfidência,67,5,0
Indaiá,77,2,0
Independência,190,15,6
Ipê,83,7,2
Ipiranga,305,27,4
Itaipu,139,9,2
Itapoã,335,13,4
Itatiaia,44,2,0
Jaqueline,314,37,7
Jaraguá,140,2,1
Jardim Alvorada,238,17,4
Jardim América,270,18,2
Jardim Atlântico,39,1,0
Jardim do Vale,8,2,0
Jardim dos Comerciários,466,26,8
Jardim Felicidade,186,28,11
Jardim Guanabara,294,13,3
Jardim Leblon,187,9,4
Jardim Montanhês,124,15,2
Jardim São José,146,10,3
Jardim Vitória,369,37,2
Jardinópolis,36,3,1
Jatobá,43,1,0
João Alfredo,5,0,0
João Paulo II,27,2,2
João Pinheiro,216,14,1
Jonas Veiga,65,7,2
Juliana,125,11,3
Lagoa,157,7,3
Lagoinha,86,10,2
Lagoinha Leblon,115,4,1
Lajedo,98,7,1
Leonina,32,3,1
Letícia,216,12,3
Liberdade,144,6,2
Lindéia,536,41,9
Lorena,1,0,0
Lourdes,654,26,5
Luxemburgo,211,6,1
Madre Gertrudes,122,11,3
Madri,12,1,0
Manacás,221,8,1
Mangabeiras,56,3,1
Mangueiras,106,8,1
Mantiqueira,413,20,10
Marajó,69,5,3
Marçola,97,12,2
Maria Goretti,164,30,5
Maria Helena,165,10,1
Maria Teresa,3,0,0
Maria Virgínia,108,12,0
Mariano de Abreu,96,15,1
Marieta I,10,0,0
Marieta II,6,1,0
Marilândia,23,1,0
Mariquinhas,31,2,1
Marmiteiros,8,1,0
Milionários,312,20,7
Minas Brasil,106,5,1
Minascaixa,227,17,6
Minaslândia,150,7,0
Mineirão,94,12,2
Miramar,138,10,2
Mirante,5,2,0
Mirtes,1,0,0
Monsenhor Messias,96,5,1
Monte Azul,53,2,0
Monte São José,9,3,1
Morro dos Macacos,2,0,0
Nazaré,146,25,5
Nossa Senhora da Aparecida,75,7,2
Nossa Senhora da Conceição,82,7,3
Nossa Senhora de Fátima,114,10,3
Nossa Senhora do Rosário,2,0,0
Nova Cachoeirinha,116,11,3
Nova Cintra,106,9,3
Nova Esperança,103,12,4
Nova Floresta,142,6,2
Nova Gameleira,271,13,5
Nova Granada,205,4,1
Nova Pampulha,10,0,0
Nova Suissa,473,14,8
Nova Vista,246,31,7
Novo Aarão Reis,72,14,4
Novo Glória,156,17,3
Novo Ouro Preto,27,2,0
Novo Santa Cecília,46,6,2
Novo São Lucas,80,4,1
Novo Tupi,33,1,0
Oeste,124,7,1
Olaria,132,11,1
Olhos d'Água,25,5,2
Ouro Minas,91,9,1
Ouro Preto,495,15,4
Padre Eustáquio,683,44,8
Palmares,219,9,3
Palmeiras,191,12,4
Pantanal,10,1,0
Paquetá,281,9,1
Paraíso,265,40,3
Parque São José,81,3,2
Parque São Pedro,81,6,1
Paulo VI,193,28,2
Pedreira Prado Lopes,34,13,2
Penha,76,11,0
Petrópolis,78,5,0
Pilar,97,7,1
Pindorama,330,45,14
Pindura Saia,2,0,0
Pirajá,54,12,2
Piratininga,621,29,10
Pirineus,13,4,0
Planalto,520,23,6
Pompéia,130,26,1
Pongelupe,60,8,2
Pousada Santo Antônio,78,3,0
Prado,546,21,10
Primeiro de Maio,40,5,2
Providência,118,11,4
Renascença,212,14,4
Ribeiro de Abreu,255,25,5
Rio Branco,366,12,4
Sagrada Família,870,62,10
Salgado Filho,363,20,9
Santa Amélia,628,21,6
Santa Branca,206,13,0
Santa Cecília,66,3,0
Santa Cruz,520,52,10
Santa Efigênia,616,37,11
Santa Helena,140,11,3
Santa Inês,236,21,4
Santa Isabel,4,0,0
Santa Lúcia,237,15,3
Santa Margarida,52,5,0
Santa Maria,161,6,3
Santa Mônica,560,15,6
Santa Rita,42,2,2
Santa Rita de Cássia,72,5,0
Santa Rosa,200,9,2
Santa Sofia,51,0,0
Santa Tereza,338,28,4
Santa Terezinha,288,14,4
Santana do Cafezal,59,4,0
Santo Agostinho,317,11,4
Santo André,188,29,4
Santo Antônio,633,29,13
São Benedito,14,0,0
São Bento,86,5,1
São Bernardo,191,12,3
São Cristóvão,50,19,1
São Francisco,107,5,2
São Francisco das Chagas,12,2,1
São Gabriel,284,27,7
São Geraldo,271,41,4
São Gonçalo,41,6,1
São João,21,0,0
São João Batista,462,21,8
São Jorge I,36,0,0
São Jorge II,35,2,0
São Jorge III,37,3,0
São José,48,0,0
São Lucas,107,7,2
São Luíz,162,2,1
São Marcos,147,17,1
São Paulo,89,8,1
São Pedro,203,3,1
São Salvador,132,12,5
São Sebastião,7,1,0
São Tomáz,129,17,6
São Vicente,3,1,0
Satélite,18,1,0
Saudade,92,12,3
Savassi,402,15,6
Senhor dos Passos,30,5,2
Serra,616,34,12
Serra do Curral,12,0,0
Serra Verde,283,10,4
Serrano,216,12,2
Silveira,169,11,2
Sion,628,27,9
Solar do Barreiro,115,5,1
Solimões,24,2,0
